latitude,longitude,accommodates,bedrooms,beds,price
51.46225,-0.11732,4,1,3,$97.00 
51.56802,-0.11121,2,1,0,$40.00 
51.48796,-0.16898,2,1,1,$75.00 
51.52195,-0.14094,6,3,3,$307.00 
51.47935,-0.19743,2,1,1,$150.00 
51.57224,-0.20906,2,1,0,$29.00 
51.46507,-0.32421,2,1,1,$65.00 
51.47934,-0.28066,5,3,3,$195.00 
51.58461,-0.1617,2,1,0,$72.00 
51.53972,-0.05885,2,1,1,$80.00 
51.46871,-0.06455,2,1,1,$70.00 
51.4194,-0.08722,2,1,,$65.00 
51.49995,-0.02624,2,1,0,$65.00 
51.50687,-0.23328,2,1,1,$58.00 
51.50819,-0.23284,10,5,6,$200.00 
51.5873,-0.08606,2,1,1,$45.00 
51.47871,-0.06063,2,1,1,$42.00 
51.52589,-0.19942,2,1,2,$42.00 
51.5886,-0.08805,2,1,1,$45.00 
51.57375,-0.2089,2,1,1,$29.00 
51.61648,-0.25788,4,2,3,$180.00 
51.49157,-0.256,4,1,3,$42.00 
51.55842,0.00382,2,1,1,$37.00 
51.49441,-0.20479,3,1,0,$50.00 
51.50803,-0.21599,1,1,1,$125.00 
51.48172,-0.20957,2,1,1,$38.00 
51.53033,-0.21734,2,1,1,$90.00 
51.47511,-0.19263,2,1,1,$65.00 
51.47612,-0.19183,2,1,1,$55.00 
51.59554,-0.24187,1,1,1,$29.00 
51.55224,-0.19964,1,1,1,$40.00 
51.51737,-0.19576,4,1,2,$125.00 
51.53604,0.0194,2,1,2,$160.00 
51.48055,-0.18238,4,1,1,$85.00 
51.5297,-0.14384,1,1,1,$35.00 
51.49506,-0.2275,2,1,1,$78.00 
51.51757,-0.19195,3,1,2,$121.00 
51.54811,-0.19563,2,1,1,$40.00 
51.47246,-0.12727,2,1,1,$68.00 
51.37438,-0.1177,4,2,2,$56.00 
51.49355,-0.22864,2,1,0,$63.00 
51.39998,-0.10548,2,1,2,$35.00 
51.52404,-0.18494,1,1,2,$70.00 
51.52126,-0.05696,2,1,1,$43.00 
51.56093,0.06692,3,1,,$49.00 
51.55942,0.06846,2,1,2,$55.00 
51.49946,-0.01934,2,1,1,$129.00 
51.49402,-0.22724,2,1,1,$57.00 
51.52053,-0.20968,2,1,1,$45.00 
51.48624,-0.09624,2,1,1,$75.00 
51.4796,-0.09821,2,1,1,$99.00 
51.45971,-0.12008,2,1,1,$80.00 
51.49404,-0.22738,2,1,1,$60.00 
51.49625,-0.15497,5,1,3,$129.00 
51.54117,-0.05867,2,1,1,$76.00 
51.60202,-0.26139,1,1,1,$25.00 
51.56131,0.06822,16,1,0,$62.00 
51.59016,-0.09427,1,1,1,$36.00 
51.54049,-0.04916,4,2,2,$110.00 
51.52216,-0.13859,3,1,1,$148.00 
51.59583,-0.14223,4,2,3,$80.00 
51.48064,-0.11439,2,1,1,$48.00 
51.46193,-0.11085,6,2,3,$85.00 
51.49389,-0.20418,10,4,9,$414.00 
51.52423,-0.18481,3,2,2,$200.00 
51.57157,0.01088,2,1,0,$42.00 
51.46452,-0.0797,1,1,0,$34.00 
51.39711,-0.21342,2,1,1,$29.00 
51.43828,-0.01975,2,1,2,$60.00 
51.4917,-0.16183,2,1,1,$99.00 
51.4533,-0.15646,2,1,2,$96.00 
51.49494,-0.12004,2,1,1,$95.00 
51.40092,-0.10452,2,1,2,$35.00 
51.53924,-0.10209,4,2,2,$133.00 
51.40644,-0.33563,2,1,2,$120.00 
51.54838,-0.16344,2,1,2,$110.00 
51.52123,-0.14033,5,2,5,$200.00 
51.51061,-0.06646,3,1,1,$128.00 
51.49624,-0.23319,5,3,3,$360.00 
51.41642,-0.07645,2,1,1,$40.00 
51.52842,-0.11141,2,1,1,$102.00 
51.58519,0.15639,2,1,1,$190.00 
51.46721,0.04371,1,1,1,$26.00 
51.5385,-0.19255,4,1,0,$120.00 
51.57552,-0.06052,2,1,1,$29.00 
51.58937,-0.12274,1,1,1,$40.00 
51.48968,-0.11637,1,1,1,$58.00 
51.51688,-0.18513,4,2,2,$152.00 
51.48582,-0.19951,4,2,2,$98.00 
51.52528,-0.11521,4,1,2,$99.00 
51.51106,-0.18922,1,1,1,$150.00 
51.48209,0.07248,2,1,4,$50.00 
51.44749,-0.43186,2,1,1,$55.00 
51.56822,-0.11266,5,1,3,$125.00 
51.49875,-0.19263,4,2,4,$85.00 
51.41297,-0.11367,1,1,1,$40.00 
51.49764,-0.01365,1,1,1,$47.00 
51.44762,-0.05716,2,1,1,$58.00 
51.51074,-0.19853,2,1,1,$50.00 
51.54055,-0.11682,2,1,1,$90.00 
51.54273,-0.09948,4,1,0,$90.00 
51.55071,-0.08547,2,1,1,$65.00 
51.44004,-0.18755,2,1,0,$42.00 
51.50178,-0.21627,5,2,2,$115.00 
51.41562,-0.19489,4,2,2,$75.00 
51.46441,-0.12669,2,1,1,$45.00 
51.47635,0.0128,2,1,1,$35.00 
51.52807,-0.05133,4,1,1,$75.00 
51.43923,-0.10421,2,1,1,$80.00 
51.55786,-0.2263,2,1,1,$46.00 
51.57204,-0.08339,1,1,,$100.00 
51.52099,-0.22852,2,1,1,$49.00 
51.42875,-0.12056,2,1,1,$35.00 
51.60796,-0.12551,1,1,1,$39.00 
51.46434,-0.23728,2,1,2,$30.00 
51.5139,-0.29568,2,1,1,$60.00 
51.57419,-0.13958,3,1,2,$80.00 
51.47845,-0.19328,2,1,1,$80.00 
51.509,-0.19948,1,1,1,$110.00 
51.5468,-0.10667,4,1,2,$118.00 
51.49906,-0.22803,2,1,1,$350.00 
51.56485,-0.05612,1,1,1,$33.00 
51.52715,-0.05594,2,1,1,$55.00 
51.54647,-0.05664,6,3,4,$135.00 
51.50615,-0.1078,2,1,1,$95.00 
51.5333,-0.03032,5,2,3,$68.00 
51.48815,-0.22315,1,1,1,$81.00 
51.52874,-0.05396,1,1,1,$55.00 
51.52407,-0.10554,2,1,1,$93.00 
51.52245,-0.18275,4,2,3,$144.00 
51.47144,-0.08815,2,1,1,$40.00 
51.56739,-0.11264,2,1,1,$31.00 
51.54089,-0.089,4,2,3,$423.00 
51.54599,-0.07426,4,2,2,$135.00 
51.61308,-0.11829,1,1,1,$25.00 
51.50067,-0.23288,2,1,1,$106.00 
51.51643,-0.12111,2,1,2,$60.00 
51.52575,-0.19782,2,1,1,$99.00 
51.5573,-0.14269,5,2,3,$120.00 
51.44715,-0.33925,2,1,1,"$1,000.00 "
51.53323,-0.17848,4,2,3,$135.00 
51.48974,-0.11116,3,1,2,$90.00 
51.50967,-0.07814,2,1,1,$130.00 
51.52197,-0.14035,3,1,1,$153.00 
51.51411,-0.0412,2,1,1,$55.00 
51.55719,-0.12932,2,1,1,$76.00 
51.52902,-0.08944,3,1,1,$140.00 
51.40269,-0.19177,7,2,2,$138.00 
51.53058,-0.01203,3,1,2,$75.00 
51.50549,-0.33443,2,1,1,$28.00 
51.48128,-0.18071,2,1,1,$59.00 
51.58462,-0.14677,4,2,2,$99.00 
51.48831,-0.13829,3,2,2,$83.00 
51.54632,-0.07488,2,1,1,$99.00 
51.48847,-0.22097,4,1,1,$46.00 
51.47013,-0.04266,4,1,2,$110.00 
51.46788,-0.09993,2,1,1,$30.00 
51.51895,-0.21202,2,1,1,$50.00 
51.38918,-0.06793,4,1,2,$49.00 
51.51751,-0.19932,2,1,1,$118.00 
51.49185,-0.08823,4,2,3,$111.00 
51.53427,-0.06187,2,1,0,$90.00 
51.50689,-0.14202,6,3,1,"$1,300.00 "
51.49836,-0.02547,2,1,1,$60.00 
51.4946,-0.19441,2,1,0,$85.00 
51.51691,-0.15862,2,1,1,$216.00 
51.54586,-0.18,2,2,1,$229.00 
51.52496,-0.18805,2,1,0,$50.00 
51.51762,-0.21359,2,1,1,$105.00 
51.52948,-0.08591,6,2,3,$88.00 
51.53919,-0.24072,6,2,2,$150.00 
51.55037,-0.11407,2,1,1,$45.00 
51.46932,-0.15277,2,1,1,$50.00 
51.43855,-0.32191,2,1,1,$50.00 
51.49865,-0.10284,1,1,1,$69.00 
51.5422,-0.20218,3,1,1,$79.00 
51.49146,-0.27072,2,1,1,$85.00 
51.53566,-0.06318,4,2,3,$85.00 
51.55083,-0.08425,2,1,1,$65.00 
51.48833,-0.18901,1,1,1,$35.00 
51.48606,-0.1243,2,1,1,$126.00 
51.5343,0.08195,1,1,1,$39.00 
51.51463,-0.05797,2,1,0,$35.00 
51.48416,-0.10375,2,1,1,$45.00 
51.49519,-0.19242,5,1,9,$69.00 
51.38447,-0.12659,1,1,0,$18.00 
51.53462,-0.14332,4,1,3,$94.00 
51.3676,-0.12209,2,1,1,$35.00 
51.55397,-0.0334,8,4,4,$263.00 
51.51662,-0.17332,2,1,1,$94.00 
51.53023,-0.19886,1,1,1,$67.00 
51.51164,-0.20278,4,2,2,$275.00 
51.51876,-0.20705,1,1,1,$36.00 
51.47973,-0.22205,6,3,2,$51.00 
51.52048,-0.11833,2,1,0,$65.00 
51.50226,-0.11054,6,2,3,$240.00 
51.52849,-0.07731,2,1,1,$55.00 
51.59056,-0.09624,2,1,1,$60.00 
51.5187,-0.13979,4,1,1,$180.00 
51.48747,-0.04066,7,1,1,$30.00 
51.48993,-0.19718,1,1,1,$75.00 
51.53895,-0.07748,2,1,1,$90.00 
51.47188,-0.18469,2,2,2,$75.00 
51.54826,-0.08522,1,1,1,$42.00 
51.52153,-0.1004,2,1,1,$140.00 
51.48668,-0.10513,2,1,1,$100.00 
51.49039,-0.19595,2,1,0,$100.00 
51.60477,-0.12547,4,3,6,$83.00 
51.50453,-0.10742,3,1,2,$40.00 
51.52057,-0.10572,4,2,3,$94.00 
51.49595,-0.2293,3,1,1,$120.00 
51.52111,-0.20535,4,2,2,$150.00 
51.51022,-0.19395,2,1,1,$170.00 
51.54376,-0.20845,1,1,1,$60.00 
51.54621,-0.20833,1,1,1,$42.00 
51.59914,-0.15154,1,1,1,$33.00 
51.57589,-0.06892,2,1,1,$65.00 
51.60552,-0.14845,1,1,1,$33.00 
51.42864,-0.15701,2,1,1,$29.00 
51.56138,-0.11088,3,1,2,$27.00 
51.55306,-0.04562,6,3,4,$123.00 
51.63546,-0.11726,2,1,1,$66.00 
51.54216,-0.09764,1,1,0,$50.00 
51.52932,-0.08094,12,4,5,$450.00 
51.53261,-0.08277,2,1,1,$100.00 
51.54937,-0.11814,2,1,1,$60.00 
