,NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER,SUB_2009,SUB_2006
0,Kingston upon Thames,E09000021,3726.117,0.0,F,,
1,Croydon,E09000008,8649.441,0.0,F,,
2,Bromley,E09000006,15013.487,0.0,F,,
3,Hounslow,E09000018,5658.541,60.755,F,,
4,Ealing,E09000009,5554.428,0.0,F,,
5,Havering,E09000016,11445.735,210.763,F,,
6,Hillingdon,E09000017,11570.063,0.0,F,,
7,Harrow,E09000015,5046.33,0.0,F,,
8,Brent,E09000005,4323.27,0.0,F,,
9,Barnet,E09000003,8674.837,0.0,F,,
10,Lambeth,E09000022,2724.94,43.927,T,,
11,Southwark,E09000028,2991.34,105.139,T,,
12,Lewisham,E09000023,3531.706,16.795,T,,
13,Greenwich,E09000011,5044.19,310.785,F,,
14,Bexley,E09000004,6428.649,370.619,F,,
15,Enfield,E09000010,8220.025,0.0,F,,
16,Waltham Forest,E09000031,3880.793,0.0,F,,
17,Redbridge,E09000026,5644.225,2.3,F,,
18,Sutton,E09000029,4384.698,0.0,F,,
19,Richmond upon Thames,E09000027,5876.111,135.443,F,,
20,Merton,E09000024,3762.466,0.0,F,,
21,Wandsworth,E09000032,3522.022,95.6,T,,
22,Hammersmith and Fulham,E09000013,1715.409,75.648,T,,
23,Kensington and Chelsea,E09000020,1238.379,25.994,T,,
24,Westminster,E09000033,2203.005,54.308,T,,
25,Camden,E09000007,2178.932,0.0,T,,
26,Tower Hamlets,E09000030,2157.501,179.707,T,,
27,Islington,E09000019,1485.664,0.0,T,,
28,Hackney,E09000012,1904.902,0.0,T,,
29,Haringey,E09000014,2959.837,0.0,T,,
30,Newham,E09000025,3857.806,237.637,T,,
31,Barking and Dagenham,E09000002,3779.934,169.15,F,,
32,City of London,E09000001,314.942,24.546,T,,
