borough_name,rental_total_price2020,total_rental_count2020,rent_price_mean_one_room2020,rential_price_one_poroperty2020,IMD - Average score2019,housing_affordability2020
City of London,20500,10,2050,2050,14.7,9.74
Barking and Dagenham,708550,580,595.42,1221.64,32.8,15.11
Barnet,2323010,1580,725.94,1470.26,16.1,9.2
Bexley,965480,850,527.58,1135.86,16.3,14.34
Brent,1901470,1280,706.87,1485.52,25.6,10.3
Bromley,2535010,1900,645.04,1334.22,14.2,19.12
Camden,1582420,800,1180.91,1978.03,20.1,10.38
Croydon,1984090,1700,629.87,1167.11,22.5,13.29
Ealing,3694950,2330,810.3,1585.82,22.7,12.69
Enfield,1076520,820,640.79,1312.83,25.8,12.14
Greenwich,1376100,990,698.53,1390,24.5,16.96
Hackney,2647060,1430,948.77,1851.09,32.5,18.66
Hammersmith and Fulham,3463590,1680,1092.62,2061.66,22.3,14.3
Haringey,789380,490,789.38,1610.98,28,12.28
Harrow,1468670,1030,638.55,1425.89,15,10.41
Havering,1058540,890,542.84,1189.37,16.8,12.09
Hillingdon,2349580,1860,650.85,1263.22,18.2,12.18
Hounslow,2452110,1780,686.87,1377.59,21.5,13.92
Islington,780090,400,1098.72,1950.23,27.5,26.24
Kensington and Chelsea,5019380,1650,1678.72,3042.05,21.5,12
Kingston upon Thames,1081000,810,679.87,1334.57,11.4,13.4
Lambeth,2443470,1310,929.08,1865.24,25.4,11.57
Lewisham,1735790,1330,748.19,1305.11,26.7,11.55
Merton,2616280,1540,809.99,1698.88,14.6,12.46
Newham,2133820,1440,735.8,1481.82,29.6,11.76
Redbridge,1496400,1140,647.79,1312.63,17.2,13.52
Richmond upon Thames,3522760,1810,896.38,1946.28,9.4,13.77
Southwark,2095150,1220,931.18,1717.34,25.8,11.14
Sutton,1430190,1250,621.82,1144.15,14,12.38
Tower Hamlets,3105970,1730,1011.72,1795.36,27.9,12.52
Waltham Forest,1723380,1270,694.91,1356.99,25.2,14.54
Wandsworth,3568130,1850,903.32,1928.72,16.6,22.23
Westminster,3990490,1510,1571.06,2642.71,20.3,
